Entry Time,Exit Time,Gross,Lane,Lot,Rate,Ticket,Transaction Number
12/31/2010 17:14,1/1/2011 0:37,$0.00 ,21,8,7,0,139
12/31/2010 17:14,1/1/2011 1:50,$0.00 ,20,8,7,0,257
12/31/2010 17:15,1/1/2011 0:22,$3.00 ,24,6,2,38191,161
12/31/2010 17:16,1/1/2011 0:29,$3.00 ,24,6,2,38192,165
12/31/2010 17:17,1/1/2011 3:21,$0.00 ,20,8,7,0,316
12/31/2010 17:17,1/1/2011 3:33,$6.00 ,44,15,1,67372,37173
12/31/2010 17:19,1/1/2011 0:08,$7.00 ,4,2,6,474,48226
12/31/2010 17:21,1/1/2011 0:05,$7.00 ,27,2,6,476,255
12/31/2010 17:22,1/1/2011 0:09,$7.00 ,4,2,6,479,48227
12/31/2010 17:22,1/1/2011 0:48,$0.00 ,21,8,7,0,141
12/31/2010 17:26,1/1/2011 0:48,$0.00 ,22,4,7,0,192
12/31/2010 17:26,1/1/2011 13:53,$0.00 ,27,2,7,0,1
12/31/2010 17:27,1/1/2011 0:52,$0.00 ,27,2,7,0,268
12/31/2010 17:27,1/1/2011 1:11,$0.00 ,27,2,7,0,278
12/31/2010 17:28,1/1/2011 1:02,$0.00 ,22,4,7,0,195
12/31/2010 17:29,1/1/2011 0:12,$6.00 ,43,15,1,67378,15870
12/31/2010 17:29,1/1/2011 0:13,$6.00 ,44,15,1,67379,37147
12/31/2010 17:29,1/1/2011 0:50,$9.00 ,41,21,2,3026,174
12/31/2010 17:30,1/1/2011 0:17,$6.00 ,43,15,1,67382,15875
12/31/2010 17:30,1/1/2011 0:34,$0.00 ,21,8,7,0,138
12/31/2010 17:30,1/1/2011 1:43,$6.00 ,43,15,1,67384,15903
12/31/2010 17:31,1/1/2011 1:02,$0.00 ,20,8,7,0,226
12/31/2010 17:32,1/1/2011 0:51,$7.00 ,27,2,6,491,267
12/31/2010 17:33,1/1/2011 1:13,$0.00 ,27,2,7,0,280
12/31/2010 17:33,1/1/2011 1:40,$0.00 ,27,2,7,0,297
12/31/2010 17:34,1/1/2011 10:30,$14.00 ,27,2,6,495,370
12/31/2010 17:35,1/1/2011 0:06,$7.00 ,27,2,6,497,256
12/31/2010 17:35,1/1/2011 10:17,$14.00 ,27,2,6,496,369
12/31/2010 17:36,1/1/2011 0:11,$7.00 ,4,2,6,499,48229
12/31/2010 17:36,1/1/2011 0:18,$6.00 ,43,15,1,67388,15876
12/31/2010 17:36,1/1/2011 0:21,$7.00 ,4,2,6,500,48240
12/31/2010 17:37,1/1/2011 1:08,$0.00 ,27,2,7,0,275
12/31/2010 17:38,1/1/2011 0:15,$8.00 ,47,17,2,14856,173
12/31/2010 17:38,1/1/2011 0:59,$7.00 ,27,2,6,504,269
12/31/2010 17:40,1/1/2011 0:11,$7.00 ,4,2,6,508,48230
12/31/2010 17:40,1/1/2011 0:14,$8.00 ,47,17,2,14857,172
12/31/2010 17:40,1/1/2011 0:34,$3.00 ,24,6,2,19749,172
12/31/2010 17:41,1/1/2011 0:48,$8.00 ,46,17,2,7522,155
12/31/2010 17:42,1/1/2011 0:01,$0.00 ,27,2,7,0,249
12/31/2010 17:42,1/1/2011 9:21,$17.00 ,47,17,2,14859,195
12/31/2010 17:44,1/1/2011 0:47,$0.00 ,20,8,7,0,206
12/31/2010 17:44,1/1/2011 0:52,$0.00 ,20,8,7,0,214
12/31/2010 17:45,1/1/2011 3:07,$0.00 ,20,8,7,0,313
12/31/2010 17:46,1/1/2011 3:04,$7.00 ,27,2,6,513,346
12/31/2010 17:46,1/1/2011 16:49,$8.00 ,29,5,7,0,2
12/31/2010 17:47,1/1/2011 0:33,$8.00 ,46,17,2,14861,149
12/31/2010 17:47,1/1/2011 1:42,$0.00 ,21,8,7,0,181
12/31/2010 17:48,1/1/2011 1:40,$0.00 ,22,4,7,0,209
12/31/2010 17:49,1/1/2011 2:17,$8.00 ,46,17,2,7524,177
12/31/2010 17:49,1/1/2011 10:52,$0.00 ,21,8,7,0,200
12/31/2010 17:50,1/1/2011 0:53,$6.00 ,44,15,1,67393,37158
12/31/2010 17:50,1/1/2011 1:46,$0.00 ,29,5,7,0,108
12/31/2010 17:50,1/1/2011 2:37,$8.00 ,47,17,2,14863,187
12/31/2010 17:50,1/1/2011 11:04,$0.00 ,21,8,7,0,1
12/31/2010 17:51,1/1/2011 0:38,$7.00 ,4,2,6,516,48243
12/31/2010 17:52,1/1/2011 0:26,$8.00 ,41,21,2,3036,171
12/31/2010 17:53,1/1/2011 0:17,$0.00 ,25,7,7,0,49
12/31/2010 17:53,1/1/2011 1:26,$0.00 ,21,8,7,0,167
12/31/2010 17:54,1/1/2011 0:26,$0.00 ,28,5,7,0,128
12/31/2010 17:54,1/1/2011 0:46,$0.00 ,20,8,7,0,205
12/31/2010 17:54,1/1/2011 1:50,$7.00 ,27,2,6,519,309
12/31/2010 17:55,1/1/2011 0:53,$0.00 ,28,5,7,0,142
12/31/2010 17:56,1/1/2011 1:21,$0.00 ,21,8,7,0,160
12/31/2010 17:57,1/1/2011 0:50,$0.00 ,28,5,7,0,140
12/31/2010 17:58,1/1/2011 0:54,$0.00 ,21,8,7,0,148
12/31/2010 17:58,1/1/2011 2:24,$0.00 ,20,8,7,0,294
12/31/2010 17:59,1/1/2011 0:46,$0.00 ,21,8,7,0,140
12/31/2010 17:59,1/1/2011 2:14,$3.00 ,24,6,2,19754,208
12/31/2010 18:00,1/1/2011 10:10,$0.00 ,27,2,7,0,366
12/31/2010 18:01,1/1/2011 1:27,$0.00 ,22,4,7,0,205
12/31/2010 18:02,1/1/2011 3:52,$7.00 ,46,17,2,14867,189
12/31/2010 18:03,1/1/2011 1:57,$0.00 ,28,5,7,0,148
12/31/2010 18:04,1/1/2011 1:12,$7.00 ,27,2,6,526,279
12/31/2010 18:04,1/1/2011 11:29,$0.00 ,27,2,7,0,377
12/31/2010 18:05,1/1/2011 0:08,$0.00 ,28,5,7,0,117
12/31/2010 18:05,1/1/2011 1:04,$0.00 ,20,8,7,0,229
12/31/2010 18:05,1/1/2011 1:05,$0.00 ,23,4,7,0,170
12/31/2010 18:05,1/1/2011 1:09,$7.00 ,27,2,6,529,276
12/31/2010 18:05,1/1/2011 1:11,$0.00 ,20,8,7,0,237
12/31/2010 18:05,1/1/2011 8:11,$16.00 ,47,17,2,14868,194
12/31/2010 18:06,1/1/2011 1:05,$0.00 ,27,2,7,0,273
12/31/2010 18:06,1/1/2011 2:01,$0.00 ,20,8,7,0,262
12/31/2010 18:12,1/1/2011 11:59,$0.00 ,21,8,7,0,3
12/31/2010 18:13,1/1/2011 2:17,$0.00 ,20,8,7,0,284
12/31/2010 18:13,1/1/2011 17:17,$2.00 ,27,2,7,0,13
12/31/2010 18:14,1/1/2011 0:14,$7.00 ,4,2,6,536,48232
12/31/2010 18:14,1/1/2011 0:58,$0.00 ,21,8,7,0,150
12/31/2010 18:14,1/1/2011 17:18,$2.00 ,27,2,7,0,14
12/31/2010 18:15,1/1/2011 0:54,$0.00 ,20,8,7,0,218
12/31/2010 18:17,1/1/2011 1:08,$0.00 ,20,8,7,0,234
12/31/2010 18:18,1/1/2011 1:15,$0.00 ,20,8,7,0,240
12/31/2010 18:19,1/1/2011 2:34,$0.00 ,26,7,7,0,71
12/31/2010 18:20,1/1/2011 0:17,$7.00 ,4,2,6,540,48235
12/31/2010 18:20,1/1/2011 1:45,$0.00 ,23,4,7,0,190
12/31/2010 18:20,1/1/2011 3:58,$6.00 ,43,15,2,1019,15915
12/31/2010 18:21,1/1/2011 1:45,$0.00 ,20,8,7,0,252
12/31/2010 18:22,1/1/2011 0:05,$0.00 ,26,7,7,0,53
12/31/2010 18:22,1/1/2011 1:28,$0.00 ,21,8,7,0,172
12/31/2010 18:24,1/1/2011 0:10,$7.00 ,41,21,2,3040,164
12/31/2010 18:25,1/1/2011 0:17,$0.00 ,26,7,7,0,56
12/31/2010 18:25,1/1/2011 3:34,$0.00 ,27,2,7,0,356
12/31/2010 18:25,1/1/2011 3:54,$7.00 ,46,17,2,14870,190
12/31/2010 18:25,1/1/2011 15:12,$6.00 ,22,4,7,0,3
12/31/2010 18:25,1/2/2011 12:09,$9.00 ,24,6,2,19760,20
12/31/2010 18:26,1/1/2011 0:16,$7.00 ,46,17,2,14871,139
12/31/2010 18:26,1/1/2011 0:33,$3.00 ,24,6,2,19761,170
12/31/2010 18:27,1/1/2011 1:30,$0.00 ,26,7,7,0,64
12/31/2010 18:27,1/1/2011 10:58,$0.00 ,27,2,7,0,373
12/31/2010 18:28,1/1/2011 0:48,$0.00 ,27,2,7,0,262
12/31/2010 18:28,1/1/2011 0:49,$0.00 ,27,2,7,0,263
12/31/2010 18:28,1/1/2011 2:18,$0.00 ,22,4,7,0,218
12/31/2010 18:29,1/1/2011 1:42,$0.00 ,27,2,7,0,301
12/31/2010 18:30,1/1/2011 0:26,$7.00 ,47,17,2,14873,177
12/31/2010 18:30,1/1/2011 1:18,$0.00 ,22,4,7,0,200
12/31/2010 18:31,1/1/2011 2:34,$0.00 ,22,4,7,0,222
12/31/2010 18:34,1/1/2011 0:13,$7.00 ,46,17,2,14875,137
12/31/2010 18:35,1/1/2011 1:51,$7.00 ,28,5,5,89856,146
12/31/2010 18:36,1/1/2011 5:17,$10.00 ,47,17,2,14877,193
12/31/2010 18:37,1/1/2011 0:36,$0.00 ,25,7,7,0,58
12/31/2010 18:37,1/1/2011 0:36,$0.00 ,25,7,7,0,59
12/31/2010 18:37,1/1/2011 1:21,$0.00 ,22,4,7,0,202
12/31/2010 18:37,1/1/2011 3:21,$0.00 ,22,4,7,0,227
12/31/2010 18:38,1/1/2011 1:00,$0.00 ,20,8,7,0,224
12/31/2010 18:38,1/1/2011 11:16,$0.00 ,28,5,7,0,156
12/31/2010 18:38,1/2/2011 11:16,$10.00 ,23,4,7,0,23
12/31/2010 18:39,1/1/2011 1:26,$0.00 ,22,4,7,0,204
12/31/2010 18:40,1/1/2011 3:45,$0.00 ,20,8,7,0,319
12/31/2010 18:40,1/1/2011 17:35,$10.00 ,22,4,7,0,5
12/31/2010 18:41,1/1/2011 0:42,$3.00 ,24,6,2,19766,182
12/31/2010 18:41,1/1/2011 0:59,$0.00 ,22,4,7,0,194
12/31/2010 18:41,1/1/2011 2:03,$0.00 ,21,8,7,0,186
12/31/2010 18:43,1/1/2011 16:12,$7.00 ,23,4,7,0,8
12/31/2010 18:44,1/1/2011 2:02,$3.00 ,24,6,2,19767,207
12/31/2010 18:45,1/1/2011 1:27,$0.00 ,21,8,7,0,170
12/31/2010 18:45,1/1/2011 1:46,$0.00 ,23,4,7,0,192
12/31/2010 18:46,1/1/2011 0:25,$0.00 ,25,7,7,0,57
12/31/2010 18:46,1/1/2011 0:55,$6.00 ,43,15,2,67425,15891
12/31/2010 18:47,1/1/2011 0:21,$7.00 ,46,17,2,14881,143
12/31/2010 18:47,1/1/2011 10:38,$0.00 ,27,2,7,0,371
12/31/2010 18:47,1/1/2011 13:04,$0.00 ,27,2,7,0,384
12/31/2010 18:48,1/1/2011 0:28,$0.00 ,28,5,7,0,130
12/31/2010 18:48,1/1/2011 0:35,$3.00 ,24,6,2,19768,173
12/31/2010 18:48,1/1/2011 1:20,$0.00 ,27,2,7,0,282
12/31/2010 18:49,1/1/2011 0:11,$6.00 ,43,15,2,67426,15868
12/31/2010 18:49,1/1/2011 0:51,$3.00 ,24,6,2,19770,186
12/31/2010 18:49,1/1/2011 5:22,$6.00 ,43,15,2,67427,15919
12/31/2010 18:49,1/1/2011 11:09,$6.00 ,24,6,2,19769,232
12/31/2010 18:51,1/1/2011 4:15,$3.00 ,24,6,2,19772,215
12/31/2010 18:52,1/1/2011 0:13,$3.00 ,24,6,2,19773,155
12/31/2010 18:52,1/1/2011 1:46,$0.00 ,22,4,7,0,211
12/31/2010 18:53,1/1/2011 0:04,$0.00 ,25,7,7,0,34
12/31/2010 18:53,1/1/2011 1:10,$0.00 ,26,7,7,0,61
12/31/2010 18:54,1/1/2011 0:08,$0.00 ,25,7,7,0,40
12/31/2010 18:56,1/1/2011 0:05,$3.00 ,24,6,2,19776,146
12/31/2010 18:56,1/1/2011 3:35,$0.00 ,22,4,7,0,228
12/31/2010 18:57,1/1/2011 0:24,$0.00 ,26,7,7,0,57
12/31/2010 18:57,1/1/2011 12:24,$0.00 ,22,4,7,0,233
12/31/2010 18:58,1/1/2011 11:01,$0.00 ,27,2,7,0,375
12/31/2010 18:58,1/1/2011 12:33,$6.00 ,43,15,2,67429,15922
12/31/2010 18:59,1/1/2011 0:10,$3.00 ,24,6,2,19778,151
12/31/2010 18:59,1/1/2011 0:26,$6.00 ,43,15,2,67431,15880
12/31/2010 18:59,1/1/2011 0:41,$0.00 ,22,4,7,0,188
